timestamp,open,high,low,close,volume
2019-11-08,314.8000,341.5000,309.2600,337.1400,44212958
2019-11-01,327.5400,340.8400,309.8000,313.3100,52514801
2019-10-25,258.3300,330.0000,250.1800,328.1300,80686938
2019-10-18,247.9000,264.7800,247.1300,256.9500,33910553
2019-10-11,229.8000,251.0800,228.5500,247.8900,38525904
2019-10-04,243.0000,245.9500,224.2800,231.4300,41557942
2019-09-27,240.0000,248.7100,218.3600,242.1300,49978992
2019-09-20,246.0000,248.1700,238.1600,240.6200,24292507
2019-09-13,230.0000,253.5000,228.9400,245.2000,33623515
2019-09-06,224.0800,229.8000,219.2100,227.4500,22721936
2019-08-30,213.6000,232.4400,211.5400,225.6100,28209102
2019-08-23,224.2100,229.0900,211.0000,211.4000,32406687
2019-08-16,232.9900,236.0000,211.5500,219.9400,32534854
2019-08-09,229.6000,239.8000,225.7500,235.0100,26541572
2019-08-02,227.0900,246.6800,226.0300,234.3400,40956550
2019-07-26,258.7500,266.0700,222.2500,228.0400,55388178
2019-07-19,248.0000,259.9600,244.8600,258.1800,40726701
2019-07-12,231.2400,245.3800,227.2800,245.0800,37932064
2019-07-05,230.2100,241.5700,222.2200,233.1000,38763877
2019-06-28,223.2400,227.2300,217.3500,223.4600,33631144
2019-06-21,215.4800,234.7400,214.2700,221.8600,51673266
2019-06-14,210.2500,223.3800,207.5100,214.9200,53037782
2019-06-07,185.5100,211.0000,176.9900,204.5000,76628366
2019-05-31,191.2000,195.0000,184.1000,185.1600,40614746
2019-05-24,202.8000,207.4000,186.2200,190.6300,97898995
2019-05-17,232.0100,234.5000,208.9200,211.0300,50653123
2019-05-10,250.0200,258.3500,236.0200,239.5200,40861509
2019-05-03,235.8600,256.6100,231.5000,255.0300,78749568
2019-04-26,269.0000,269.6800,231.1300,235.1400,78028556
2019-04-18,268.6300,275.0000,258.6300,273.2600,28314302
2019-04-12,277.6900,281.1600,265.6000,267.7000,39957682
2019-04-05,282.6200,296.1700,260.5900,274.9600,58278229
2019-03-29,259.7100,280.3300,254.4600,279.8600,39110574
2019-03-22,276.0000,278.0500,263.4600,264.5300,43682541
2019-03-15,283.5200,295.3900,274.4000,275.4300,43630112
2019-03-08,298.1200,299.0000,270.1000,284.1400,64459151
2019-03-01,297.9100,320.0000,288.7700,294.7900,59824993
2019-02-22,306.5600,311.5400,290.5000,294.7100,25960300
2019-02-15,311.6000,318.6000,301.0000,307.8800,26894679
2019-02-08,312.9800,324.2400,298.5000,305.8000,31498216
2019-02-01,292.9100,316.1000,287.7500,312.2100,42147975
2019-01-25,304.8200,308.0000,279.2800,297.0400,39866967
2019-01-18,342.3800,352.0000,299.7300,302.2600,43823109
2019-01-11,321.7200,348.4100,317.7500,347.2600,31088092
2019-01-04,337.7900,339.2100,297.3800,317.6900,32320286
2018-12-28,313.5000,336.2400,294.0900,333.8700,32237176
2018-12-21,362.0000,365.7000,311.8700,319.7700,40136847
2018-12-14,360.0000,377.8700,353.1200,365.7100,31652681
2018-12-07,360.0000,379.4900,350.7600,357.9700,36122141
2018-11-30,325.0000,351.6000,325.0000,350.4800,27187638
2018-11-23,356.3400,366.7500,325.5500,325.8300,26603030
2018-11-16,348.3700,355.7000,330.3400,354.3100,29262317
2018-11-09,340.5000,357.5800,330.1400,350.5100,34157979
2018-11-02,337.4700,349.2000,322.2600,346.4100,47045182
2018-10-26,260.6800,339.9000,252.5900,330.9000,92952515
2018-10-19,259.0600,282.7000,253.5000,260.0000,39178641
2018-10-12,264.5200,267.7600,247.7700,258.7800,53717647
2018-10-05,305.7700,316.8400,260.0000,261.9500,69274845
